"名称","品牌","评分","年份","属性","香调"
"爱马仕 驿马车Hermes Caleche, 1961","爱马仕 ",8.8,1961,"女香 ","醛香花香调  "
"迪奥小姐Dior Miss Dior (2012), 2012","迪奥小姐Dior ",8.8,2012,"女香 ","花香甘苔调  "
"范思哲 同名经典男士Versace Pour Homme, 2008","范思哲 ",8.8,2008,"男香 ","馥奇香调  "
"博柏利 伦敦女士（新伦敦）Burberry London, 2006","博柏利 ",8.8,2006,"女香 ","花香调  "
"纪梵希 小熊宝宝Givenchy Ptisenbon, 1988","纪梵希 ",8.7,1988,"女香 ","绿叶花香调  "
"香奈儿 邂逅（黄邂逅）Chanel Chance Eau de Toilette, 2003","香奈儿 ",8.7,2003,"女香 ","花香甘苔调  "
"范思哲 云淡风轻（绅情）男士Versace Man Eau Fraiche, 2006","范思哲 ",8.7,2006,"男香 ","水生木质调  "
"凯文克莱 CK 诱惑男士（迷情）Calvin Klein Euphoria Men, 2006","凯文克莱 ",8.7,2006,"男香 ","木质馥奇香调  "
"纪梵希 玩转浓情Givenchy Play Intense, 2008","纪梵希 ",8.7,2008,"男香 ","东方馥奇香调  "
"宝格丽 晶莹纯香（白晶）Bvlgari Omnia Crystalline, 2005","宝格丽 ",8.7,2005,"女香 ","水生花香调  "
"宝缇嘉 同名Bottega Veneta, 2011","宝缇嘉 ",8.7,2011,"女香 ","花香甘苔调  "
"圣罗兰YSL Yves Saint Laurent M7, 2002","圣罗兰YSL ",8.7,2002,"男香 ","木质东方调  "
"博柏利 风格男士Burberry Brit for Men, 2004","博柏利 ",8.7,2004,"男香 ","木质东方调  "
"橘滋 脏话男士Juicy Couture Dirty English for Men, 2008","橘滋 ",8.7,2008,"男香 ","辛辣木质调  "
"汤姆·福特 白色广藿香Tom Ford White Patchouli, 2008","汤姆·福特 ",8.7,2008,"女香 ","花香甘苔调  "
"爱马仕 粉红葡萄柚Hermes Eau de Pamplemousse Rose, 2009","爱马仕 ",8.7,2009,"中性香","柑橘馥奇香调  "
"三宅一生 一生之水女士香水Issey Miyake L'eau d'Issey, 1992","三宅一生 ",8.7,1992,"女香 ","水生花香调  "
"圣罗兰 M7乌木精纯YSL Yves Saint Laurent La Collection M7 Oud Absolu, 2011","圣罗兰 ",8.7,2011,"男香 ","木质东方调  "
"宝格丽 水漾夜茉莉Bvlgari Mon Jasmin Noir L'Eau Exquise, 2012","宝格丽 ",8.7,2012,"女香 ","花香调  "
"莎娃蒂妮 经典同名男士Salvador Dali Pour Homme, 1987","莎娃蒂妮 ",8.7,1987,"男香 ","东方馥奇香调  "
"摩勒沃兹 4711原始古龙水Maurer & Wirtz 4711 Original Eau de Cologne, 1792","摩勒沃兹 ",8.6,1792,"中性香","柑橘馥奇香调  "
"迪奥 沙丘男士Dior Dune, 1997","迪奥 ",8.6,1997,"男香 ","木质花香调  "
"娇兰 一千零一夜绽放（初次）Guerlain Shalimar Parfum Initial, 2011","娇兰 ",8.6,2011,"女香 ","花香甘苔调  "
"纳茜素 同名男士Narciso Rodriguez for Him, 2007","纳茜素 ",8.6,2007,"男香 ","馥奇香调  "
"维特&罗夫 激情炸弹Viktor&Rolf Spicebomb, 2012","维特&罗夫 ",8.6,2012,"男香 ","辛辣木质调  "
"安娜苏 许愿精灵Anna Sui Secret Wish, 2005","安娜苏 ",8.6,2005,"女香 ","花香果香调  "
"高田贤三 水之恋Kenzo L'Eau par Kenzo, 1996","高田贤三 ",8.6,1996,"女香 ","水生花香调  "
"巴黎世家 花之密语Balenciaga Florabotanica, 2012","巴黎世家 ",8.6,2012,"女香 ","绿叶花香调  "
"缪缪 同名Miu Miu, 2015","缪缪 ",8.6,2015,"女香 ","花香调  "
"博柏利 红粉恋歌Burberry Brit Sheer, 2007","博柏利 ",8.5,2007,"女香 ","花香果香调  "
"祖玛珑 红玫瑰Jo Malone Red Roses, 2001","祖玛珑 ",8.5,2001,"女香 ","绿叶花香调  "
"博柏利 裸纱（玲珑）Burberry Body, 2011","博柏利 ",8.5,2011,"女香 ","果香甘苔调  "
"高田贤三 一枝花（罂粟花/花样年华）Kenzo Flower by Kenzo, 2000","高田贤三 ",8.5,2000,"女香 ","东方花香调  "
